,Film,Year,IMDB,Metascore,IMDB votes
1757,Люди Икс: Первый класс,2011,7.7,65,624681
1758,Драйв,2011,7.8,78,540003
1759,Восстание планеты обезьян,2011,7.6,68,481914
1760,Исходный код,2011,7.5,74,464162
1761,Эта дурацкая любовь,2011,7.4,68,448553
1762,Миссия невыполнима: Протокол Фантом,2011,7.4,73,438886
1763,Воин,2011,8.2,71,414600
1764,Прислуга,2011,8.1,62,404363
1765,Девушка с татуировкой дракона,2011,7.8,71,399157
1766,Полночь в Париже,2011,7.7,81,366544
1767,Хижина в лесу,2011,7.0,72,351468
1768,"Человек, который изменил всё",2011,7.6,87,338918
1769,Форсаж 5,2011,7.3,66,338358
1770,Супер 8,2011,7.0,72,325958
1771,Секс по дружбе,2011,6.5,63,325363
1772,Жизнь прекрасна,2011,7.6,72,306148
1773,Хранитель времени,2011,7.5,83,291838
1774,Девичник в Вегасе,2011,6.8,75,256375
1775,Кунг-фу Панда 2,2011,7.2,67,238296
1776,Схватка,2011,6.8,64,233188
1777,Потомки,2011,7.3,84,226525
1778,Ранго,2011,7.2,75,223141
1779,Артист,2011,7.9,89,221579
1780,Мартовские иды,2011,7.1,67,209923
1781,Приключения Тинтина: Тайна Единорога,2011,7.3,68,207592
1782,Гарри Поттер и Дары смерти: Часть II,2011,8.1,87,716715
1783,Первый мститель,2011,6.9,66,698775
1784,Люди Икс: Первый класс,2011,7.7,65,624681
1785,Драйв,2011,7.8,78,540003
1786,Восстание планеты обезьян,2011,7.6,68,481914
1787,Исходный код,2011,7.5,74,464162
1788,Эта дурацкая любовь,2011,7.4,68,448553
1789,Миссия невыполнима: Протокол Фантом,2011,7.4,73,438886
1790,Воин,2011,8.2,71,414600
1791,Прислуга,2011,8.1,62,404363
1792,Девушка с татуировкой дракона,2011,7.8,71,399157
1793,Полночь в Париже,2011,7.7,81,366544
1794,Хижина в лесу,2011,7.0,72,351468
1795,"Человек, который изменил всё",2011,7.6,87,338918
1796,Форсаж 5,2011,7.3,66,338358
1797,Супер 8,2011,7.0,72,325958
1798,Секс по дружбе,2011,6.5,63,325363
1799,Жизнь прекрасна,2011,7.6,72,306148
1800,Хранитель времени,2011,7.5,83,291838
1801,Девичник в Вегасе,2011,6.8,75,256375
1802,Кунг-фу Панда 2,2011,7.2,67,238296
1803,Схватка,2011,6.8,64,233188
1804,Потомки,2011,7.3,84,226525
1805,Ранго,2011,7.2,75,223141
1806,Артист,2011,7.9,89,221579
1807,Мартовские иды,2011,7.1,67,209923
1808,Приключения Тинтина: Тайна Единорога,2011,7.3,68,207592
1809,Гарри Поттер и Дары смерти: Часть II,2011,8.1,87,716715
1810,Первый мститель,2011,6.9,66,698775
1811,Люди Икс: Первый класс,2011,7.7,65,624681
1812,Драйв,2011,7.8,78,540003
1813,Восстание планеты обезьян,2011,7.6,68,481914
1814,Исходный код,2011,7.5,74,464162
1815,Эта дурацкая любовь,2011,7.4,68,448553
1816,Миссия невыполнима: Протокол Фантом,2011,7.4,73,438886
1817,Воин,2011,8.2,71,414600
1818,Прислуга,2011,8.1,62,404363
1819,Девушка с татуировкой дракона,2011,7.8,71,399157
1820,Полночь в Париже,2011,7.7,81,366544
1821,Хижина в лесу,2011,7.0,72,351468
1822,"Человек, который изменил всё",2011,7.6,87,338918
1823,Форсаж 5,2011,7.3,66,338358
1824,Супер 8,2011,7.0,72,325958
1825,Секс по дружбе,2011,6.5,63,325363
1826,Жизнь прекрасна,2011,7.6,72,306148
1827,Хранитель времени,2011,7.5,83,291838
1828,Девичник в Вегасе,2011,6.8,75,256375
1829,Кунг-фу Панда 2,2011,7.2,67,238296
1830,Схватка,2011,6.8,64,233188
1831,Потомки,2011,7.3,84,226525
1832,Ранго,2011,7.2,75,223141
1833,Артист,2011,7.9,89,221579
1834,Мартовские иды,2011,7.1,67,209923
1835,Приключения Тинтина: Тайна Единорога,2011,7.3,68,207592
1836,Темный рыцарь: Возрождение легенды,2012,8.4,78,1436199
1837,Джанго освобожденный,2012,8.4,81,1265266
1838,Мстители,2012,8.0,69,1215803
1839,Голодные игры,2012,7.2,68,811324
1840,Мой парень - псих,2012,7.7,81,635223
1841,007: Координаты Скайфолл,2012,7.7,81,605996
1842,Жизнь Пи,2012,7.9,79,552699
1843,Третий лишний,2012,6.9,62,550327
1844,Прометей,2012,7.0,64,549878
1845,Операция Арго,2012,7.7,86,548894
1846,Новый Человек-паук,2012,6.9,66,538953
1847,Петля времени,2012,7.4,84,513358
1848,Мачо и ботан,2012,7.2,69,490117
1849,Хорошо быть тихоней,2012,8.0,67,433957
1850,Ральф,2012,7.7,72,359559
1851,Храбрая сердцем,2012,7.1,69,352202
1852,Экипаж,2012,7.3,76,310661
1853,Королевство полной луны,2012,7.8,84,300605
1854,Отверженные,2012,7.6,63,294234
1855,Эволюция Борна,2012,6.7,61,274395
1856,Идеальный голос,2012,7.2,66,263909
1857,Цель номер один,2012,7.4,95,258437
1858,Охота,2012,8.3,77,255162
1859,Линкольн,2012,7.3,86,234493
1860,Место под соснами,2012,7.3,68,233292
1861,Хроника,2012,7.0,69,233231
1862,Семь психопатов,2012,7.2,66,229647
1863,Патруль,2012,7.6,68,217804
1864,Невозможное,2012,7.6,73,185366
1865,Темный рыцарь: Возрождение легенды,2012,8.4,78,1436199
1866,Джанго освобожденный,2012,8.4,81,1265266
1867,Мстители,2012,8.0,69,1215803
1868,Голодные игры,2012,7.2,68,811324
1869,Мой парень - псих,2012,7.7,81,635223
1870,007: Координаты Скайфолл,2012,7.7,81,605996
1871,Жизнь Пи,2012,7.9,79,552699
1872,Третий лишний,2012,6.9,62,550327
1873,Прометей,2012,7.0,64,549878
1874,Операция Арго,2012,7.7,86,548894
1875,Новый Человек-паук,2012,6.9,66,538953
1876,Петля времени,2012,7.4,84,513358
1877,Мачо и ботан,2012,7.2,69,490117
1878,Хорошо быть тихоней,2012,8.0,67,433957
1879,Ральф,2012,7.7,72,359559
1880,Храбрая сердцем,2012,7.1,69,352202
1881,Экипаж,2012,7.3,76,310661
1882,Королевство полной луны,2012,7.8,84,300605
1883,Отверженные,2012,7.6,63,294234
1884,Эволюция Борна,2012,6.7,61,274395
1885,Идеальный голос,2012,7.2,66,263909
1886,Цель номер один,2012,7.4,95,258437
1887,Охота,2012,8.3,77,255162
1888,Линкольн,2012,7.3,86,234493
1889,Место под соснами,2012,7.3,68,233292
1890,Хроника,2012,7.0,69,233231
1891,Семь психопатов,2012,7.2,66,229647
1892,Патруль,2012,7.6,68,217804
1893,Невозможное,2012,7.6,73,185366
1894,Темный рыцарь: Возрождение легенды,2012,8.4,78,1436199
1895,Джанго освобожденный,2012,8.4,81,1265266
1896,Мстители,2012,8.0,69,1215803
1897,Голодные игры,2012,7.2,68,811324
1898,Мой парень - псих,2012,7.7,81,635223
1899,007: Координаты Скайфолл,2012,7.7,81,605996
1900,Жизнь Пи,2012,7.9,79,552699
1901,Третий лишний,2012,6.9,62,550327
1902,Прометей,2012,7.0,64,549878
1903,Операция Арго,2012,7.7,86,548894
1904,Новый Человек-паук,2012,6.9,66,538953
1905,Петля времени,2012,7.4,84,513358
1906,Мачо и ботан,2012,7.2,69,490117
1907,Хорошо быть тихоней,2012,8.0,67,433957
1908,Ральф,2012,7.7,72,359559
1909,Храбрая сердцем,2012,7.1,69,352202
1910,Экипаж,2012,7.3,76,310661
1911,Королевство полной луны,2012,7.8,84,300605
1912,Отверженные,2012,7.6,63,294234
1913,Эволюция Борна,2012,6.7,61,274395
1914,Идеальный голос,2012,7.2,66,263909
1915,Цель номер один,2012,7.4,95,258437
1916,Охота,2012,8.3,77,255162
1917,Линкольн,2012,7.3,86,234493
1918,Место под соснами,2012,7.3,68,233292
1919,Хроника,2012,7.0,69,233231
1920,Семь психопатов,2012,7.2,66,229647
1921,Патруль,2012,7.6,68,217804
1922,Невозможное,2012,7.6,73,185366
1923,Темный рыцарь: Возрождение легенды,2012,8.4,78,1436199
1924,Джанго освобожденный,2012,8.4,81,1265266
1925,Мстители,2012,8.0,69,1215803
1926,Голодные игры,2012,7.2,68,811324
1927,Мой парень - псих,2012,7.7,81,635223
1928,007: Координаты Скайфолл,2012,7.7,81,605996
1929,Жизнь Пи,2012,7.9,79,552699
1930,Третий лишний,2012,6.9,62,550327
1931,Прометей,2012,7.0,64,549878
1932,Операция Арго,2012,7.7,86,548894
1933,Новый Человек-паук,2012,6.9,66,538953
1934,Петля времени,2012,7.4,84,513358
1935,Мачо и ботан,2012,7.2,69,490117
1936,Хорошо быть тихоней,2012,8.0,67,433957
1937,Ральф,2012,7.7,72,359559
1938,Храбрая сердцем,2012,7.1,69,352202
1939,Экипаж,2012,7.3,76,310661
1940,Королевство полной луны,2012,7.8,84,300605
1941,Отверженные,2012,7.6,63,294234
1942,Эволюция Борна,2012,6.7,61,274395
1943,Идеальный голос,2012,7.2,66,263909
1944,Цель номер один,2012,7.4,95,258437
1945,Охота,2012,8.3,77,255162
1946,Линкольн,2012,7.3,86,234493
1947,Место под соснами,2012,7.3,68,233292
1948,Хроника,2012,7.0,69,233231
1949,Семь психопатов,2012,7.2,66,229647
1950,Патруль,2012,7.6,68,217804
1951,Невозможное,2012,7.6,73,185366
1952,Темный рыцарь: Возрождение легенды,2012,8.4,78,1436199
1953,Джанго освобожденный,2012,8.4,81,1265266
1954,Мстители,2012,8.0,69,1215803
1955,Голодные игры,2012,7.2,68,811324
1956,Мой парень - псих,2012,7.7,81,635223
1957,007: Координаты Скайфолл,2012,7.7,81,605996
1958,Жизнь Пи,2012,7.9,79,552699
1959,Третий лишний,2012,6.9,62,550327
1960,Прометей,2012,7.0,64,549878
1961,Операция Арго,2012,7.7,86,548894
1962,Новый Человек-паук,2012,6.9,66,538953
1963,Петля времени,2012,7.4,84,513358
1964,Мачо и ботан,2012,7.2,69,490117
1965,Хорошо быть тихоней,2012,8.0,67,433957
1966,Ральф,2012,7.7,72,359559
1967,Храбрая сердцем,2012,7.1,69,352202
1968,Экипаж,2012,7.3,76,310661
1969,Королевство полной луны,2012,7.8,84,300605
1970,Отверженные,2012,7.6,63,294234
1971,Эволюция Борна,2012,6.7,61,274395
1972,Идеальный голос,2012,7.2,66,263909
1973,Цель номер один,2012,7.4,95,258437
1974,Охота,2012,8.3,77,255162
1975,Линкольн,2012,7.3,86,234493
1976,Место под соснами,2012,7.3,68,233292
1977,Хроника,2012,7.0,69,233231
1978,Семь психопатов,2012,7.2,66,229647
1979,Патруль,2012,7.6,68,217804
1980,Невозможное,2012,7.6,73,185366
1981,Темный рыцарь: Возрождение легенды,2012,8.4,78,1436199
1982,Джанго освобожденный,2012,8.4,81,1265266
1983,Мстители,2012,8.0,69,1215803
1984,Голодные игры,2012,7.2,68,811324
1985,Мой парень - псих,2012,7.7,81,635223
1986,007: Координаты Скайфолл,2012,7.7,81,605996
1987,Жизнь Пи,2012,7.9,79,552699
1988,Третий лишний,2012,6.9,62,550327
1989,Прометей,2012,7.0,64,549878
1990,Операция Арго,2012,7.7,86,548894
1991,Новый Человек-паук,2012,6.9,66,538953
1992,Петля времени,2012,7.4,84,513358
1993,Мачо и ботан,2012,7.2,69,490117
1994,Хорошо быть тихоней,2012,8.0,67,433957
1995,Ральф,2012,7.7,72,359559
1996,Храбрая сердцем,2012,7.1,69,352202
1997,Экипаж,2012,7.3,76,310661
1998,Королевство полной луны,2012,7.8,84,300605
1999,Отверженные,2012,7.6,63,294234
2000,Эволюция Борна,2012,6.7,61,274395
2001,Идеальный голос,2012,7.2,66,263909
2002,Цель номер один,2012,7.4,95,258437
2003,Охота,2012,8.3,77,255162
2004,Линкольн,2012,7.3,86,234493
2005,Место под соснами,2012,7.3,68,233292
2006,Хроника,2012,7.0,69,233231
2007,Семь психопатов,2012,7.2,66,229647
2008,Патруль,2012,7.6,68,217804
2009,Невозможное,2012,7.6,73,185366
2010,Волк с Уолл-стрит,2013,8.2,75,1085785
2011,Гравитация,2013,7.7,96,733521
2012,Железный человек 3,2013,7.2,62,718910
2013,12 лет рабства,2013,8.1,96,599697
2014,Голодные игры: И вспыхнет пламя,2013,7.5,76,588703
2015,Хоббит: Пустошь Смауга,2013,7.8,66,578637
2016,Война миров Z,2013,7.0,63,570363
2017,Пленницы,2013,8.1,74,551602
2018,Холодное сердце,2013,7.5,74,542844
2019,Она,2013,8.0,90,496167
2020,Стартрек: Возмездие,2013,7.7,72,452249
2021,Тихоокеанский рубеж,2013,6.9,65,452234
2022,Афера по-американски,2013,7.2,90,429147
2023,Заклятие,2013,7.5,68,416235
2024,Далласский клуб покупателей,2013,8.0,84,415216
2025,Росомаха: Бессмертный,2013,6.7,61,412765
2026,Гонка,2013,8.1,74,407272
2027,Элизиум: Рай не на Земле,2013,6.6,61,405171
2028,Капитан Филлипс,2013,7.8,83,398978
2029,Конец света 2013: Апокалипсис по-голливудски,2013,6.6,67,369760
2030,Форсаж 6,2013,7.1,61,354947
2031,Гадкий я 2,2013,7.3,62,354257
2032,Университет монстров,2013,7.3,65,303544
2033,Сквозь снег,2013,7.1,84,259023
2034,Армагеддец,2013,7.0,81,245368
2035,Страсти Дон Жуана,2013,6.5,66,221136
2036,Волк с Уолл-стрит,2013,8.2,75,1085785
2037,Гравитация,2013,7.7,96,733521
2038,Железный человек 3,2013,7.2,62,718910
2039,12 лет рабства,2013,8.1,96,599697
2040,Голодные игры: И вспыхнет пламя,2013,7.5,76,588703
2041,Хоббит: Пустошь Смауга,2013,7.8,66,578637
2042,Война миров Z,2013,7.0,63,570363
2043,Пленницы,2013,8.1,74,551602
2044,Холодное сердце,2013,7.5,74,542844
2045,Она,2013,8.0,90,496167
2046,Стартрек: Возмездие,2013,7.7,72,452249
2047,Тихоокеанский рубеж,2013,6.9,65,452234
2048,Афера по-американски,2013,7.2,90,429147
2049,Заклятие,2013,7.5,68,416235
2050,Далласский клуб покупателей,2013,8.0,84,415216
2051,Росомаха: Бессмертный,2013,6.7,61,412765
2052,Гонка,2013,8.1,74,407272
2053,Элизиум: Рай не на Земле,2013,6.6,61,405171
2054,Капитан Филлипс,2013,7.8,83,398978
2055,Конец света 2013: Апокалипсис по-голливудски,2013,6.6,67,369760
2056,Форсаж 6,2013,7.1,61,354947
2057,Гадкий я 2,2013,7.3,62,354257
2058,Университет монстров,2013,7.3,65,303544
2059,Сквозь снег,2013,7.1,84,259023
2060,Армагеддец,2013,7.0,81,245368
2061,Страсти Дон Жуана,2013,6.5,66,221136
2062,Волк с Уолл-стрит,2013,8.2,75,1085785
2063,Гравитация,2013,7.7,96,733521
2064,Железный человек 3,2013,7.2,62,718910
2065,12 лет рабства,2013,8.1,96,599697
2066,Голодные игры: И вспыхнет пламя,2013,7.5,76,588703
2067,Хоббит: Пустошь Смауга,2013,7.8,66,578637
2068,Война миров Z,2013,7.0,63,570363
2069,Пленницы,2013,8.1,74,551602
2070,Холодное сердце,2013,7.5,74,542844
2071,Она,2013,8.0,90,496167
2072,Стартрек: Возмездие,2013,7.7,72,452249
2073,Тихоокеанский рубеж,2013,6.9,65,452234
2074,Афера по-американски,2013,7.2,90,429147
2075,Заклятие,2013,7.5,68,416235
2076,Далласский клуб покупателей,2013,8.0,84,415216
2077,Росомаха: Бессмертный,2013,6.7,61,412765
2078,Гонка,2013,8.1,74,407272
2079,Элизиум: Рай не на Земле,2013,6.6,61,405171
2080,Капитан Филлипс,2013,7.8,83,398978
2081,Конец света 2013: Апокалипсис по-голливудски,2013,6.6,67,369760
2082,Форсаж 6,2013,7.1,61,354947
2083,Гадкий я 2,2013,7.3,62,354257
2084,Университет монстров,2013,7.3,65,303544
2085,Сквозь снег,2013,7.1,84,259023
2086,Армагеддец,2013,7.0,81,245368
2087,Страсти Дон Жуана,2013,6.5,66,221136
2088,Волк с Уолл-стрит,2013,8.2,75,1085785
2089,Гравитация,2013,7.7,96,733521
2090,Железный человек 3,2013,7.2,62,718910
2091,12 лет рабства,2013,8.1,96,599697
2092,Голодные игры: И вспыхнет пламя,2013,7.5,76,588703
2093,Хоббит: Пустошь Смауга,2013,7.8,66,578637
2094,Война миров Z,2013,7.0,63,570363
2095,Пленницы,2013,8.1,74,551602
2096,Холодное сердце,2013,7.5,74,542844
2097,Она,2013,8.0,90,496167
2098,Стартрек: Возмездие,2013,7.7,72,452249
2099,Тихоокеанский рубеж,2013,6.9,65,452234
2100,Афера по-американски,2013,7.2,90,429147
2101,Заклятие,2013,7.5,68,416235
2102,Далласский клуб покупателей,2013,8.0,84,415216
2103,Росомаха: Бессмертный,2013,6.7,61,412765
2104,Гонка,2013,8.1,74,407272
2105,Элизиум: Рай не на Земле,2013,6.6,61,405171
2106,Капитан Филлипс,2013,7.8,83,398978
2107,Конец света 2013: Апокалипсис по-голливудски,2013,6.6,67,369760
2108,Форсаж 6,2013,7.1,61,354947
2109,Гадкий я 2,2013,7.3,62,354257
2110,Университет монстров,2013,7.3,65,303544
2111,Сквозь снег,2013,7.1,84,259023
2112,Армагеддец,2013,7.0,81,245368
2113,Страсти Дон Жуана,2013,6.5,66,221136
2114,Волк с Уолл-стрит,2013,8.2,75,1085785
2115,Гравитация,2013,7.7,96,733521
2116,Железный человек 3,2013,7.2,62,718910
2117,12 лет рабства,2013,8.1,96,599697
2118,Голодные игры: И вспыхнет пламя,2013,7.5,76,588703
2119,Хоббит: Пустошь Смауга,2013,7.8,66,578637
2120,Война миров Z,2013,7.0,63,570363
2121,Пленницы,2013,8.1,74,551602
2122,Холодное сердце,2013,7.5,74,542844
2123,Она,2013,8.0,90,496167
2124,Стартрек: Возмездие,2013,7.7,72,452249
2125,Тихоокеанский рубеж,2013,6.9,65,452234
2126,Афера по-американски,2013,7.2,90,429147
2127,Заклятие,2013,7.5,68,416235
2128,Далласский клуб покупателей,2013,8.0,84,415216
2129,Росомаха: Бессмертный,2013,6.7,61,412765
2130,Гонка,2013,8.1,74,407272
2131,Элизиум: Рай не на Земле,2013,6.6,61,405171
2132,Капитан Филлипс,2013,7.8,83,398978
2133,Конец света 2013: Апокалипсис по-голливудски,2013,6.6,67,369760
2134,Форсаж 6,2013,7.1,61,354947
2135,Гадкий я 2,2013,7.3,62,354257
2136,Университет монстров,2013,7.3,65,303544
2137,Сквозь снег,2013,7.1,84,259023
2138,Армагеддец,2013,7.0,81,245368
2139,Страсти Дон Жуана,2013,6.5,66,221136
2140,Волк с Уолл-стрит,2013,8.2,75,1085785
2141,Гравитация,2013,7.7,96,733521
2142,Железный человек 3,2013,7.2,62,718910
2143,12 лет рабства,2013,8.1,96,599697
2144,Голодные игры: И вспыхнет пламя,2013,7.5,76,588703
2145,Хоббит: Пустошь Смауга,2013,7.8,66,578637
2146,Война миров Z,2013,7.0,63,570363
2147,Пленницы,2013,8.1,74,551602
2148,Холодное сердце,2013,7.5,74,542844
2149,Она,2013,8.0,90,496167
2150,Стартрек: Возмездие,2013,7.7,72,452249
2151,Тихоокеанский рубеж,2013,6.9,65,452234
2152,Афера по-американски,2013,7.2,90,429147
2153,Заклятие,2013,7.5,68,416235
2154,Далласский клуб покупателей,2013,8.0,84,415216
2155,Росомаха: Бессмертный,2013,6.7,61,412765
2156,Гонка,2013,8.1,74,407272
2157,Элизиум: Рай не на Земле,2013,6.6,61,405171
2158,Капитан Филлипс,2013,7.8,83,398978
2159,Конец света 2013: Апокалипсис по-голливудски,2013,6.6,67,369760
2160,Форсаж 6,2013,7.1,61,354947
2161,Гадкий я 2,2013,7.3,62,354257
2162,Университет монстров,2013,7.3,65,303544
2163,Сквозь снег,2013,7.1,84,259023
2164,Армагеддец,2013,7.0,81,245368
2165,Страсти Дон Жуана,2013,6.5,66,221136
2166,Интерстеллар,2014,8.6,74,1370061
2167,Стражи Галактики,2014,8.0,76,992819
2168,Исчезнувшая,2014,8.1,79,795286
2169,Первый мститель: Другая война,2014,7.7,70,696105
2170,Отель Гранд Будапешт,2014,8.1,88,658925
2171,Одержимость,2014,8.5,88,653847
2172,Игра в имитацию,2014,8.0,73,642327
2173,Люди Икс: Дни минувшего будущего,2014,8.0,75,637249
2174,Грань будущего,2014,7.9,71,566412
2175,Бёрдмэн,2014,7.7,87,542828
2176,Джон Уик,2014,7.4,68,493713
2177,Из машины,2014,7.7,78,442385
2178,Стрингер,2014,7.9,76,426070
2179,Люси,2014,6.4,61,417333
2180,Снайпер,2014,7.3,72,415255
2181,Планета обезьян: Революция,2014,7.6,79,398672
2182,Ярость,2014,7.6,64,398214
2183,Голодные игры: Сойка-пересмешница. Часть I,2014,6.6,64,391597
2184,Город героев,2014,7.8,74,387195
2185,Вселенная Стивена Хокинга,2014,7.7,72,375102
2186,Годзилла,2014,6.4,62,362622
2187,Мачо и ботан 2,2014,7.0,71,329815
2188,Виноваты звезды,2014,7.7,69,325682
2189,Отрочество,2014,7.9,100,322965
2190,Лего. Фильм,2014,7.8,83,312540
2191,Как приручить дракона 2,2014,7.8,76,289685
2192,Соседи. На тропе войны,2014,6.3,68,273465
2193,Патруль времени,2014,7.5,69,234444
2194,Ной,2014,5.8,68,234262
2195,Оно,2014,6.8,83,193838
2196,Бабадук,2014,6.8,86,182059
2197,Интерстеллар,2014,8.6,74,1370061
2198,Стражи Галактики,2014,8.0,76,992819
2199,Исчезнувшая,2014,8.1,79,795286
2200,Первый мститель: Другая война,2014,7.7,70,696105
2201,Отель Гранд Будапешт,2014,8.1,88,658925
2202,Одержимость,2014,8.5,88,653847
2203,Игра в имитацию,2014,8.0,73,642327
2204,Люди Икс: Дни минувшего будущего,2014,8.0,75,637249
2205,Грань будущего,2014,7.9,71,566412
2206,Бёрдмэн,2014,7.7,87,542828
2207,Джон Уик,2014,7.4,68,493713
2208,Из машины,2014,7.7,78,442385
2209,Стрингер,2014,7.9,76,426070
2210,Люси,2014,6.4,61,417333
2211,Снайпер,2014,7.3,72,415255
2212,Планета обезьян: Революция,2014,7.6,79,398672
2213,Ярость,2014,7.6,64,398214
2214,Голодные игры: Сойка-пересмешница. Часть I,2014,6.6,64,391597
2215,Город героев,2014,7.8,74,387195
2216,Вселенная Стивена Хокинга,2014,7.7,72,375102
2217,Годзилла,2014,6.4,62,362622
2218,Мачо и ботан 2,2014,7.0,71,329815
2219,Виноваты звезды,2014,7.7,69,325682
2220,Отрочество,2014,7.9,100,322965
2221,Лего. Фильм,2014,7.8,83,312540
2222,Как приручить дракона 2,2014,7.8,76,289685
2223,Соседи. На тропе войны,2014,6.3,68,273465
2224,Патруль времени,2014,7.5,69,234444
2225,Ной,2014,5.8,68,234262
2226,Оно,2014,6.8,83,193838
2227,Бабадук,2014,6.8,86,182059
2228,Интерстеллар,2014,8.6,74,1370061
2229,Стражи Галактики,2014,8.0,76,992819
2230,Исчезнувшая,2014,8.1,79,795286
2231,Первый мститель: Другая война,2014,7.7,70,696105
2232,Отель Гранд Будапешт,2014,8.1,88,658925
2233,Одержимость,2014,8.5,88,653847
2234,Игра в имитацию,2014,8.0,73,642327
2235,Люди Икс: Дни минувшего будущего,2014,8.0,75,637249
2236,Грань будущего,2014,7.9,71,566412
2237,Бёрдмэн,2014,7.7,87,542828
2238,Джон Уик,2014,7.4,68,493713
2239,Из машины,2014,7.7,78,442385
2240,Стрингер,2014,7.9,76,426070
2241,Люси,2014,6.4,61,417333
2242,Снайпер,2014,7.3,72,415255
2243,Планета обезьян: Революция,2014,7.6,79,398672
2244,Ярость,2014,7.6,64,398214
2245,Голодные игры: Сойка-пересмешница. Часть I,2014,6.6,64,391597
2246,Город героев,2014,7.8,74,387195
2247,Вселенная Стивена Хокинга,2014,7.7,72,375102
2248,Годзилла,2014,6.4,62,362622
2249,Мачо и ботан 2,2014,7.0,71,329815
2250,Виноваты звезды,2014,7.7,69,325682
2251,Отрочество,2014,7.9,100,322965
2252,Лего. Фильм,2014,7.8,83,312540
2253,Как приручить дракона 2,2014,7.8,76,289685
2254,Соседи. На тропе войны,2014,6.3,68,273465
2255,Патруль времени,2014,7.5,69,234444
2256,Ной,2014,5.8,68,234262
2257,Оно,2014,6.8,83,193838
2258,Бабадук,2014,6.8,86,182059
2259,Интерстеллар,2014,8.6,74,1370061
2260,Стражи Галактики,2014,8.0,76,992819
2261,Исчезнувшая,2014,8.1,79,795286
2262,Первый мститель: Другая война,2014,7.7,70,696105
2263,Отель Гранд Будапешт,2014,8.1,88,658925
2264,Одержимость,2014,8.5,88,653847
2265,Игра в имитацию,2014,8.0,73,642327
2266,Люди Икс: Дни минувшего будущего,2014,8.0,75,637249
2267,Грань будущего,2014,7.9,71,566412
2268,Бёрдмэн,2014,7.7,87,542828
2269,Джон Уик,2014,7.4,68,493713
2270,Из машины,2014,7.7,78,442385
2271,Стрингер,2014,7.9,76,426070
2272,Люси,2014,6.4,61,417333
2273,Снайпер,2014,7.3,72,415255
2274,Планета обезьян: Революция,2014,7.6,79,398672
2275,Ярость,2014,7.6,64,398214
2276,Голодные игры: Сойка-пересмешница. Часть I,2014,6.6,64,391597
2277,Город героев,2014,7.8,74,387195
2278,Вселенная Стивена Хокинга,2014,7.7,72,375102
2279,Годзилла,2014,6.4,62,362622
2280,Мачо и ботан 2,2014,7.0,71,329815
2281,Виноваты звезды,2014,7.7,69,325682
2282,Отрочество,2014,7.9,100,322965
2283,Лего. Фильм,2014,7.8,83,312540
2284,Как приручить дракона 2,2014,7.8,76,289685
2285,Соседи. На тропе войны,2014,6.3,68,273465
2286,Патруль времени,2014,7.5,69,234444
2287,Ной,2014,5.8,68,234262
2288,Оно,2014,6.8,83,193838
2289,Бабадук,2014,6.8,86,182059
2290,Интерстеллар,2014,8.6,74,1370061
2291,Стражи Галактики,2014,8.0,76,992819
2292,Исчезнувшая,2014,8.1,79,795286
2293,Первый мститель: Другая война,2014,7.7,70,696105
2294,Отель Гранд Будапешт,2014,8.1,88,658925
2295,Одержимость,2014,8.5,88,653847
2296,Игра в имитацию,2014,8.0,73,642327
2297,Люди Икс: Дни минувшего будущего,2014,8.0,75,637249
2298,Грань будущего,2014,7.9,71,566412
2299,Бёрдмэн,2014,7.7,87,542828
2300,Джон Уик,2014,7.4,68,493713
2301,Из машины,2014,7.7,78,442385
2302,Стрингер,2014,7.9,76,426070
2303,Люси,2014,6.4,61,417333
2304,Снайпер,2014,7.3,72,415255
2305,Планета обезьян: Революция,2014,7.6,79,398672
2306,Ярость,2014,7.6,64,398214
2307,Голодные игры: Сойка-пересмешница. Часть I,2014,6.6,64,391597
2308,Город героев,2014,7.8,74,387195
2309,Вселенная Стивена Хокинга,2014,7.7,72,375102
2310,Годзилла,2014,6.4,62,362622
2311,Мачо и ботан 2,2014,7.0,71,329815
2312,Виноваты звезды,2014,7.7,69,325682
2313,Отрочество,2014,7.9,100,322965
2314,Лего. Фильм,2014,7.8,83,312540
2315,Как приручить дракона 2,2014,7.8,76,289685
2316,Соседи. На тропе войны,2014,6.3,68,273465
2317,Патруль времени,2014,7.5,69,234444
2318,Ной,2014,5.8,68,234262
2319,Оно,2014,6.8,83,193838
2320,Бабадук,2014,6.8,86,182059
2321,Интерстеллар,2014,8.6,74,1370061
2322,Стражи Галактики,2014,8.0,76,992819
2323,Исчезнувшая,2014,8.1,79,795286
2324,Первый мститель: Другая война,2014,7.7,70,696105
2325,Отель Гранд Будапешт,2014,8.1,88,658925
2326,Одержимость,2014,8.5,88,653847
2327,Игра в имитацию,2014,8.0,73,642327
2328,Люди Икс: Дни минувшего будущего,2014,8.0,75,637249
2329,Грань будущего,2014,7.9,71,566412
2330,Бёрдмэн,2014,7.7,87,542828
2331,Джон Уик,2014,7.4,68,493713
2332,Из машины,2014,7.7,78,442385
2333,Стрингер,2014,7.9,76,426070
2334,Люси,2014,6.4,61,417333
2335,Снайпер,2014,7.3,72,415255
2336,Планета обезьян: Революция,2014,7.6,79,398672
2337,Ярость,2014,7.6,64,398214
2338,Голодные игры: Сойка-пересмешница. Часть I,2014,6.6,64,391597
